sample_id,continent,country,side,image_path,source_url,google_maps_url,orig_sha1,orig_w,orig_h,crop_w,crop_h,mime
Africa__Kenya__7413794bb363_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__7413794bb363_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_695.jpg,https://goo.gl/maps/bUzaZKmreVAv61hS8,7413794bb3638299a4a34d7955db1a76c8781272,1280,800,640,800,image/jpeg
Africa__Kenya__6cf2477673d7_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__6cf2477673d7_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_698.jpg,https://maps.app.goo.gl/Qp57Hb489WQcbbSb8,6cf2477673d7a315e444eb445b5bff7cb6a805d0,1280,800,640,800,image/jpeg
Africa__Kenya__6cf2477673d7_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__6cf2477673d7_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_698.jpg,https://maps.app.goo.gl/Qp57Hb489WQcbbSb8,6cf2477673d7a315e444eb445b5bff7cb6a805d0,1280,800,640,800,image/jpeg
Africa__Kenya__e4ac03b54e4c_L,Africa,Kenya,L,images/Africa/Kenya/Africa__Kenya__e4ac03b54e4c_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_848.jpg,https://maps.app.goo.gl/GhpGqsS3RZSnjdXA9,e4ac03b54e4c4e9b79c6c0ecb88df008d90b8be2,1280,800,640,800,image/jpeg
Africa__Kenya__e4ac03b54e4c_R,Africa,Kenya,R,images/Africa/Kenya/Africa__Kenya__e4ac03b54e4c_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_848.jpg,https://maps.app.goo.gl/GhpGqsS3RZSnjdXA9,e4ac03b54e4c4e9b79c6c0ecb88df008d90b8be2,1280,800,640,800,image/jpeg
Africa__Lesotho__486cfc58c36d_L,Africa,Lesotho,L,images/Africa/Lesotho/Africa__Lesotho__486cfc58c36d_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_639.jpg,https://maps.app.goo.gl/Xs8XhxZyrmCdAec98,486cfc58c36d762f906f8573a4e4bb602783e0ce,1280,800,640,800,image/jpeg
Africa__Lesotho__486cfc58c36d_R,Africa,Lesotho,R,images/Africa/Lesotho/Africa__Lesotho__486cfc58c36d_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_639.jpg,https://maps.app.goo.gl/Xs8XhxZyrmCdAec98,486cfc58c36d762f906f8573a4e4bb602783e0ce,1280,800,640,800,image/jpeg
Africa__Namibia__613b4a855501_L,Africa,Namibia,L,images/Africa/Namibia/Africa__Namibia__613b4a855501_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_877.jpg,https://maps.app.goo.gl/Ygv2vsQooiQRid5T8,613b4a855501d082e7fe7711e44045440b963297,1280,800,640,800,image/jpeg
Africa__Namibia__613b4a855501_R,Africa,Namibia,R,images/Africa/Namibia/Africa__Namibia__613b4a855501_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_877.jpg,https://maps.app.goo.gl/Ygv2vsQooiQRid5T8,613b4a855501d082e7fe7711e44045440b963297,1280,800,640,800,image/jpeg
Africa__Namibia__c86d14edc779_L,Africa,Namibia,L,images/Africa/Namibia/Africa__Namibia__c86d14edc779_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_878.jpg,https://maps.app.goo.gl/UujwmzyxpMvZJK5C7,c86d14edc7795602333c6e190913ded4c646eab7,1280,800,640,800,image/jpeg
Africa__Namibia__c86d14edc779_R,Africa,Namibia,R,images/Africa/Namibia/Africa__Namibia__c86d14edc779_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_878.jpg,https://maps.app.goo.gl/UujwmzyxpMvZJK5C7,c86d14edc7795602333c6e190913ded4c646eab7,1280,800,640,800,image/jpeg
Africa__Namibia__f38f8a823cd7_L,Africa,Namibia,L,images/Africa/Namibia/Africa__Namibia__f38f8a823cd7_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_879.jpg,https://maps.app.goo.gl/eBxuioy66ufMxib86,f38f8a823cd7b77fb0a91b04ad2b52910677f4e9,1280,800,640,800,image/jpeg
Africa__Namibia__f38f8a823cd7_R,Africa,Namibia,R,images/Africa/Namibia/Africa__Namibia__f38f8a823cd7_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_879.jpg,https://maps.app.goo.gl/eBxuioy66ufMxib86,f38f8a823cd7b77fb0a91b04ad2b52910677f4e9,1280,800,640,800,image/jpeg
Africa__Nigeria__11a8c90c5d33_L,Africa,Nigeria,L,images/Africa/Nigeria/Africa__Nigeria__11a8c90c5d33_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_557.jpg,https://goo.gl/maps/dsDB7jFbmoTqVFMm8,11a8c90c5d3369c9483920c77c3bd3895fd3dddc,1280,800,640,800,image/jpeg
Africa__Nigeria__11a8c90c5d33_R,Africa,Nigeria,R,images/Africa/Nigeria/Africa__Nigeria__11a8c90c5d33_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_557.jpg,https://goo.gl/maps/dsDB7jFbmoTqVFMm8,11a8c90c5d3369c9483920c77c3bd3895fd3dddc,1280,800,640,800,image/jpeg
Africa__Rwanda__93f31c478bac_L,Africa,Rwanda,L,images/Africa/Rwanda/Africa__Rwanda__93f31c478bac_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_614.jpg,https://goo.gl/maps/mcTrNhJUNcXGEp2X8,93f31c478bac5f140cb72c383b1d6cbc3e399526,1280,800,640,800,image/jpeg
Africa__Rwanda__93f31c478bac_R,Africa,Rwanda,R,images/Africa/Rwanda/Africa__Rwanda__93f31c478bac_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_614.jpg,https://goo.gl/maps/mcTrNhJUNcXGEp2X8,93f31c478bac5f140cb72c383b1d6cbc3e399526,1280,800,640,800,image/jpeg
Africa__Rwanda__2ae340fe608d_L,Africa,Rwanda,L,images/Africa/Rwanda/Africa__Rwanda__2ae340fe608d_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_615.jpg,https://goo.gl/maps/4KB3MRHC7zXoNJ269,2ae340fe608da56fce48804b57c992186d0be30b,1280,800,640,800,image/jpeg
Africa__Rwanda__2ae340fe608d_R,Africa,Rwanda,R,images/Africa/Rwanda/Africa__Rwanda__2ae340fe608d_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_615.jpg,https://goo.gl/maps/4KB3MRHC7zXoNJ269,2ae340fe608da56fce48804b57c992186d0be30b,1280,800,640,800,image/jpeg
Africa__Rwanda__0cabbe7d4837_L,Africa,Rwanda,L,images/Africa/Rwanda/Africa__Rwanda__0cabbe7d4837_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_344.jpg,https://maps.app.goo.gl/cY23fBQZet4gCYnLA,0cabbe7d48376469eb96e1729597d00fc0b2928e,1280,800,640,800,image/jpeg
Africa__Rwanda__0cabbe7d4837_R,Africa,Rwanda,R,images/Africa/Rwanda/Africa__Rwanda__0cabbe7d4837_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_344.jpg,https://maps.app.goo.gl/cY23fBQZet4gCYnLA,0cabbe7d48376469eb96e1729597d00fc0b2928e,1280,800,640,800,image/jpeg
Africa__Réunion__c270f739499a_L,Africa,Réunion,L,images/Africa/Réunion/Africa__Réunion__c270f739499a_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_348.jpg,https://goo.gl/maps/X2ppECR9yeMuzK6B9,c270f739499a14a8494f6fcb4f908f0b29e14b8b,1280,800,640,800,image/jpeg
Africa__Réunion__c270f739499a_R,Africa,Réunion,R,images/Africa/Réunion/Africa__Réunion__c270f739499a_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_348.jpg,https://goo.gl/maps/X2ppECR9yeMuzK6B9,c270f739499a14a8494f6fcb4f908f0b29e14b8b,1280,800,640,800,image/jpeg
Africa__Réunion__83a40c0c3dd2_L,Africa,Réunion,L,images/Africa/Réunion/Africa__Réunion__83a40c0c3dd2_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_350.jpg,https://goo.gl/maps/FywSFbQNFQ5ihkM18,83a40c0c3dd288954d26f7df3e9e84b467a79922,1280,800,640,800,image/jpeg
Africa__Réunion__83a40c0c3dd2_R,Africa,Réunion,R,images/Africa/Réunion/Africa__Réunion__83a40c0c3dd2_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_350.jpg,https://goo.gl/maps/FywSFbQNFQ5ihkM18,83a40c0c3dd288954d26f7df3e9e84b467a79922,1280,800,640,800,image/jpeg
Africa__Réunion__2a87af2be589_L,Africa,Réunion,L,images/Africa/Réunion/Africa__Réunion__2a87af2be589_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_517.jpg,https://goo.gl/maps/nvRKSQeWpyYa9Bqe7,2a87af2be589911440fbf2cbd06fa04a3b5b9b57,1280,800,640,800,image/jpeg
Africa__Réunion__2a87af2be589_R,Africa,Réunion,R,images/Africa/Réunion/Africa__Réunion__2a87af2be589_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_517.jpg,https://goo.gl/maps/nvRKSQeWpyYa9Bqe7,2a87af2be589911440fbf2cbd06fa04a3b5b9b57,1280,800,640,800,image/jpeg
Africa__Senegal__0b230a9e7b01_L,Africa,Senegal,L,images/Africa/Senegal/Africa__Senegal__0b230a9e7b01_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_13.jpg,https://goo.gl/maps/tWm3Q2SZTsSbJTY49,0b230a9e7b01aa4c94a363461e688e8e347ff8ea,1280,800,640,800,image/jpeg
Africa__Senegal__0b230a9e7b01_R,Africa,Senegal,R,images/Africa/Senegal/Africa__Senegal__0b230a9e7b01_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_13.jpg,https://goo.gl/maps/tWm3Q2SZTsSbJTY49,0b230a9e7b01aa4c94a363461e688e8e347ff8ea,1280,800,640,800,image/jpeg
Africa__Senegal__2256a081af59_L,Africa,Senegal,L,images/Africa/Senegal/Africa__Senegal__2256a081af59_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_15.jpg,https://goo.gl/maps/jKJWRt9prsP5ozh29,2256a081af59bbcc1301708b62937db0ea6cd367,1280,800,640,800,image/jpeg
Africa__Senegal__2256a081af59_R,Africa,Senegal,R,images/Africa/Senegal/Africa__Senegal__2256a081af59_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_15.jpg,https://goo.gl/maps/jKJWRt9prsP5ozh29,2256a081af59bbcc1301708b62937db0ea6cd367,1280,800,640,800,image/jpeg
Africa__Senegal__bf8e872f874f_L,Africa,Senegal,L,images/Africa/Senegal/Africa__Senegal__bf8e872f874f_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_16.jpg,https://goo.gl/maps/JfRQMBUAocVZu25dA,bf8e872f874ff05884cce15ebaef14f4fabeeac2,1280,800,640,800,image/jpeg
Africa__Senegal__bf8e872f874f_R,Africa,Senegal,R,images/Africa/Senegal/Africa__Senegal__bf8e872f874f_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_16.jpg,https://goo.gl/maps/JfRQMBUAocVZu25dA,bf8e872f874ff05884cce15ebaef14f4fabeeac2,1280,800,640,800,image/jpeg
Africa__Senegal__3a48e14dba57_L,Africa,Senegal,L,images/Africa/Senegal/Africa__Senegal__3a48e14dba57_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_681.jpg,https://goo.gl/maps/uKM6LjxCy6ZTPxBs9,3a48e14dba57e48d275946d5d78472b332571959,1280,800,640,800,image/jpeg
Africa__Senegal__3a48e14dba57_R,Africa,Senegal,R,images/Africa/Senegal/Africa__Senegal__3a48e14dba57_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_681.jpg,https://goo.gl/maps/uKM6LjxCy6ZTPxBs9,3a48e14dba57e48d275946d5d78472b332571959,1280,800,640,800,image/jpeg
Africa__Senegal__e88943b2a921_L,Africa,Senegal,L,images/Africa/Senegal/Africa__Senegal__e88943b2a921_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_847.jpg,https://maps.app.goo.gl/pwa4gCL4BdhNmuYZ7,e88943b2a9216cd88288397239c411e58a0c40aa,1280,800,640,800,image/jpeg
Africa__Senegal__e88943b2a921_R,Africa,Senegal,R,images/Africa/Senegal/Africa__Senegal__e88943b2a921_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_847.jpg,https://maps.app.goo.gl/pwa4gCL4BdhNmuYZ7,e88943b2a9216cd88288397239c411e58a0c40aa,1280,800,640,800,image/jpeg
Africa__South_Africa__1da9f6602db2_L,Africa,South Africa,L,images/Africa/South_Africa/Africa__South_Africa__1da9f6602db2_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_237.jpg,https://goo.gl/maps/caPhtzPuC1k23E8s9,1da9f6602db2ecfa7e7cc27f746f1a321a2b7168,1280,800,640,800,image/jpeg
Africa__South_Africa__1da9f6602db2_R,Africa,South Africa,R,images/Africa/South_Africa/Africa__South_Africa__1da9f6602db2_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_237.jpg,https://goo.gl/maps/caPhtzPuC1k23E8s9,1da9f6602db2ecfa7e7cc27f746f1a321a2b7168,1280,800,640,800,image/jpeg
Africa__South_Africa__870c4f0e65b0_L,Africa,South Africa,L,images/Africa/South_Africa/Africa__South_Africa__870c4f0e65b0_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_334.jpg,https://maps.app.goo.gl/F8prx7WHS4K2CYLFA,870c4f0e65b03f30794f6c0ea5f2156dcd85385f,1280,800,640,800,image/jpeg
Africa__South_Africa__870c4f0e65b0_R,Africa,South Africa,R,images/Africa/South_Africa/Africa__South_Africa__870c4f0e65b0_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_334.jpg,https://maps.app.goo.gl/F8prx7WHS4K2CYLFA,870c4f0e65b03f30794f6c0ea5f2156dcd85385f,1280,800,640,800,image/jpeg
Africa__Tunisia__f26e45fea7c4_L,Africa,Tunisia,L,images/Africa/Tunisia/Africa__Tunisia__f26e45fea7c4_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_18.jpg,https://goo.gl/maps/TUvekfPEahiyeGj9A,f26e45fea7c45599e4e4261f235515f23f6b4866,1280,800,640,800,image/jpeg
Africa__Tunisia__f26e45fea7c4_R,Africa,Tunisia,R,images/Africa/Tunisia/Africa__Tunisia__f26e45fea7c4_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_18.jpg,https://goo.gl/maps/TUvekfPEahiyeGj9A,f26e45fea7c45599e4e4261f235515f23f6b4866,1280,800,640,800,image/jpeg
Africa__Tunisia__f60e0bb59c73_L,Africa,Tunisia,L,images/Africa/Tunisia/Africa__Tunisia__f60e0bb59c73_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_306.jpg,https://goo.gl/maps/ZhskgBq7xfwb1FGj7,f60e0bb59c739f0dfd9b29b8e9e7bc1d61c9201d,1280,800,640,800,image/jpeg
Africa__Tunisia__f60e0bb59c73_R,Africa,Tunisia,R,images/Africa/Tunisia/Africa__Tunisia__f60e0bb59c73_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_306.jpg,https://goo.gl/maps/ZhskgBq7xfwb1FGj7,f60e0bb59c739f0dfd9b29b8e9e7bc1d61c9201d,1280,800,640,800,image/jpeg
Africa__Uganda__f3c553e4bbe6_L,Africa,Uganda,L,images/Africa/Uganda/Africa__Uganda__f3c553e4bbe6_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_35.jpg,https://goo.gl/maps/JKRSPLP26TVzfSK58,f3c553e4bbe6a83d252f1b77b6b160ba3fde71e0,1280,800,640,800,image/jpeg
Africa__Uganda__f3c553e4bbe6_R,Africa,Uganda,R,images/Africa/Uganda/Africa__Uganda__f3c553e4bbe6_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_35.jpg,https://goo.gl/maps/JKRSPLP26TVzfSK58,f3c553e4bbe6a83d252f1b77b6b160ba3fde71e0,1280,800,640,800,image/jpeg
Africa__Uganda__244ce33564c0_L,Africa,Uganda,L,images/Africa/Uganda/Africa__Uganda__244ce33564c0_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_36.jpg,https://goo.gl/maps/grr1g4YAgT2R6yJx6,244ce33564c0dd191766d2af882b235f8cdbcddf,1280,800,640,800,image/jpeg
Africa__Uganda__244ce33564c0_R,Africa,Uganda,R,images/Africa/Uganda/Africa__Uganda__244ce33564c0_R.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_36.jpg,https://goo.gl/maps/grr1g4YAgT2R6yJx6,244ce33564c0dd191766d2af882b235f8cdbcddf,1280,800,640,800,image/jpeg
Africa__Uganda__ff7774f72c82_L,Africa,Uganda,L,images/Africa/Uganda/Africa__Uganda__ff7774f72c82_L.jpg,https://ocsc00skc0wokcs8kw8g8k84.geohints.com/storage/bollards/bollard_363.jpg,https://goo.gl/maps/jGuv6WNwiCEpKZQv8,ff7774f72c82e97ca77e2121371f1a4745e2cb05,1280,800,640,800,image/jpeg
